column_a,trans_id,account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,date,fulldate,fulltime,fulldatewithtime
20,T00542215,A00001844,Credit,Credit in Cash,500.0,500.0,,,,2013,1,6,2013-01-06,2013-01-06,14:38:54,2013-01-06T14:38:54
21,T00565654,A00001926,Credit,Credit in Cash,700.0,700.0,,,,2013,1,6,2013-01-06,2013-01-06,11:41:28,2013-01-06T11:41:28
22,T00542216,A00001844,Credit,Collection from Another Bank,3242.0,3742.0,,Capital One,42988401,2013,1,7,2013-01-07,2013-01-07,10:11:45,2013-01-07T10:11:45
23,T01027725,A00003510,Credit,Credit in Cash,500.0,500.0,,,,2013,1,7,2013-01-07,2013-01-07,08:59:48,2013-01-07T08:59:48
24,T00374589,A00001276,Credit,Credit in Cash,400.0,400.0,,,,2013,1,7,2013-01-07,2013-01-07,13:53:48,2013-01-07T13:53:48
25,T00579374,A00001972,Credit,Collection from Another Bank,5298.0,5698.0,Old Age Pension,Bank of New York Mellon Corp.,14132887,2013,1,7,2013-01-07,2013-01-07,08:09:01,2013-01-07T08:09:01
26,T00699220,A00002393,Credit,Credit in Cash,900.0,900.0,,,,2013,1,7,2013-01-07,2013-01-07,09:44:19,2013-01-07T09:44:19
27,T00129502,A00000435,Credit,Credit in Cash,400.0,400.0,,,,2013,1,8,2013-01-08,2013-01-08,11:33:46,2013-01-08T11:33:46
28,T00374590,A00001276,Credit,Credit in Cash,6774.0,7174.0,,,,2013,1,8,2013-01-08,2013-01-08,10:41:24,2013-01-08T10:41:24
29,T00057433,A00000192,Credit,Credit in Cash,300.0,300.0,,,,2013,1,8,2013-01-08,2013-01-08,11:27:40,2013-01-08T11:27:40
30,T00497212,A00001695,Credit,Credit in Cash,11832.0,12032.0,,,,2013,1,8,2013-01-08,2013-01-08,11:42:14,2013-01-08T11:42:14
31,T00621760,A00002122,Credit,Credit in Cash,300.0,300.0,,,,2013,1,8,2013-01-08,2013-01-08,13:23:47,2013-01-08T13:23:47
64,T00480215,A00001637,Credit,Collection from Another Bank,5718.0,6218.0,Old Age Pension,Bank of New York Mellon Corp.,45134812,2013,1,13,2013-01-13,2013-01-13,14:23:02,2013-01-13T14:23:02
65,T01548749,A00005270,Credit,Credit in Cash,800.0,800.0,,,,2013,1,13,2013-01-13,2013-01-13,13:11:54,2013-01-13T13:11:54
66,T00505241,A00001726,Credit,Credit in Cash,13967.0,14967.0,,,,2013,1,13,2013-01-13,2013-01-13,12:29:39,2013-01-13T12:29:39
67,T00846007,A00002881,Credit,Credit in Cash,6959.0,7659.0,,,,2013,1,13,2013-01-13,2013-01-13,14:39:11,2013-01-13T14:39:11
68,T01021121,A00003487,Credit,Credit in Cash,15914.0,16714.0,,,,2013,1,13,2013-01-13,2013-01-13,13:39:09,2013-01-13T13:39:09
69,T02908689,A00009635,Credit,Collection from Another Bank,4470.0,4870.0,Old Age Pension,Bank of America,37906074,2013,1,14,2013-01-14,2013-01-14,14:50:59,2013-01-14T14:50:59
70,T00858384,A00002926,Credit,Credit in Cash,600.0,600.0,,,,2013,1,14,2013-01-14,2013-01-14,10:12:59,2013-01-14T10:12:59
71,T00498389,A00001699,Credit,Credit in Cash,800.0,800.0,,,,2013,1,14,2013-01-14,2013-01-14,14:55:00,2013-01-14T14:55:00
72,T00699221,A00002393,Credit,Credit in Cash,10737.0,11637.0,,,,2013,1,14,2013-01-14,2013-01-14,14:59:01,2013-01-14T14:59:01
73,T01142758,A00003909,Credit,Credit in Cash,700.0,700.0,,,,2013,1,14,2013-01-14,2013-01-14,14:49:02,2013-01-14T14:49:02
74,T01548750,A00005270,Credit,Collection from Another Bank,44749.0,45549.0,,Goldman Sachs,80269753,2013,1,14,2013-01-14,2013-01-14,09:52:52,2013-01-14T09:52:52
75,T00506836,A00001731,Credit,Credit in Cash,200.0,200.0,,,,2013,1,14,2013-01-14,2013-01-14,16:20:17,2013-01-14T16:20:17
76,T03393738,A00011265,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,14,2013-01-14,2013-01-14,11:58:13,2013-01-14T11:58:13
77,T00621775,A00002122,Credit,Credit in Cash,46552.0,46852.0,,,,2013,1,15,2013-01-15,2013-01-15,10:12:11,2013-01-15T10:12:11
78,T00737258,A00002519,Credit,Credit in Cash,500.0,500.0,,,,2013,1,15,2013-01-15,2013-01-15,15:25:00,2013-01-15T15:25:00
79,T00144549,A00000485,Credit,Credit in Cash,13156.0,13456.0,,,,2013,1,16,2013-01-16,2013-01-16,14:32:23,2013-01-16T14:32:23
80,T00435762,A00001481,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,17,2013-01-17,2013-01-17,14:42:51,2013-01-17T14:42:51
81,T01027726,A00003510,Credit,Credit in Cash,23323.0,23823.0,,,,2013,1,17,2013-01-17,2013-01-17,08:48:50,2013-01-17T08:48:50
82,T03122924,A00010364,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,17,2013-01-17,2013-01-17,12:57:05,2013-01-17T12:57:05
83,T01176385,A00004034,Credit,Credit in Cash,200.0,200.0,,,,2013,1,18,2013-01-18,2013-01-18,15:59:05,2013-01-18T15:59:05
84,T00119435,A00000401,Credit,Credit in Cash,300.0,300.0,,,,2013,1,18,2013-01-18,2013-01-18,11:37:05,2013-01-18T11:37:05
85,T01100767,A00003760,Credit,Credit in Cash,10792.0,11792.0,,,,2013,1,18,2013-01-18,2013-01-18,10:17:03,2013-01-18T10:17:03
86,T00682546,A00002330,Credit,Credit in Cash,200.0,200.0,,,,2013,1,19,2013-01-19,2013-01-19,09:28:59,2013-01-19T09:28:59
87,T00529772,A00001806,Credit,Credit in Cash,400.0,400.0,,,,2013,1,19,2013-01-19,2013-01-19,15:16:58,2013-01-19T15:16:58
88,T01121963,A00003834,Credit,Credit in Cash,700.0,700.0,,,,2013,1,19,2013-01-19,2013-01-19,09:34:56,2013-01-19T09:34:56
89,T00359511,A00001222,Credit,Credit in Cash,700.0,700.0,,,,2013,1,20,2013-01-20,2013-01-20,11:07:02,2013-01-20T11:07:02
90,T00063712,A00000212,Credit,Credit in Cash,200.0,200.0,,,,2013,1,20,2013-01-20,2013-01-20,12:29:33,2013-01-20T12:29:33
91,T00298978,A00001019,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,21,2013-01-21,2013-01-21,15:60:16,2013-01-21T15:60:16
92,T00136957,A00000459,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,21,2013-01-21,2013-01-21,11:07:56,2013-01-21T11:07:56
93,T00135814,A00000456,Credit,Credit in Cash,700.0,700.0,,,,2013,1,21,2013-01-21,2013-01-21,08:28:34,2013-01-21T08:28:34
94,T00226654,A00000772,Credit,Credit in Cash,500.0,500.0,,,,2013,1,21,2013-01-21,2013-01-21,08:31:17,2013-01-21T08:31:17
95,T03402664,A00011295,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,21,2013-01-21,2013-01-21,13:38:31,2013-01-21T13:38:31
96,T00695250,A00002378,Credit,Credit in Cash,7268.0,7968.0,,,,2013,1,22,2013-01-22,2013-01-22,14:43:54,2013-01-22T14:43:54
97,T00451890,A00001536,Credit,Credit in Cash,300.0,300.0,,,,2013,1,22,2013-01-22,2013-01-22,11:17:36,2013-01-22T11:17:36
98,T00785190,A00002676,Credit,Credit in Cash,200.0,200.0,,,,2013,1,22,2013-01-22,2013-01-22,08:36:26,2013-01-22T08:36:26
99,T00615548,A00002099,Credit,Credit in Cash,16125.0,17225.0,,,,2013,1,22,2013-01-22,2013-01-22,15:37:35,2013-01-22T15:37:35
100,T00871631,A00002970,Credit,Credit in Cash,400.0,400.0,,,,2013,1,22,2013-01-22,2013-01-22,11:08:59,2013-01-22T11:08:59
101,T00695266,A00002378,Credit,Credit in Cash,14440.0,22408.0,,,,2013,1,23,2013-01-23,2013-01-23,13:56:58,2013-01-23T13:56:58
102,T00347543,A00001179,Credit,Credit in Cash,700.0,700.0,,,,2013,1,23,2013-01-23,2013-01-23,16:24:22,2013-01-23T16:24:22
103,T00708081,A00002425,Credit,Credit in Cash,900.0,900.0,,,,2013,1,23,2013-01-23,2013-01-23,12:17:12,2013-01-23T12:17:12
104,T00083658,A00000280,Credit,Credit in Cash,300.0,300.0,,,,2013,1,23,2013-01-23,2013-01-23,09:00:03,2013-01-23T09:00:03
105,T00695262,A00002378,Credit,Credit in Cash,49752.0,72160.0,,,,2013,1,24,2013-01-24,2013-01-24,08:37:03,2013-01-24T08:37:03
106,T01183176,A00004055,Credit,Credit in Cash,200.0,200.0,,,,2013,1,24,2013-01-24,2013-01-24,15:41:22,2013-01-24T15:41:22
107,T00615547,A00002099,Credit,Credit in Cash,36518.0,53743.0,,,,2013,1,24,2013-01-24,2013-01-24,12:49:54,2013-01-24T12:49:54
108,T01084396,A00003704,Credit,Credit in Cash,500.0,500.0,,,,2013,1,24,2013-01-24,2013-01-24,11:22:14,2013-01-24T11:22:14
109,T02809952,A00009307,Credit,Credit in Cash,900.0,900.0,,,,2013,1,24,2013-01-24,2013-01-24,08:23:55,2013-01-24T08:23:55
110,T01486053,A00005065,Credit,Credit in Cash,300.0,300.0,,,,2013,1,24,2013-01-24,2013-01-24,08:08:13,2013-01-24T08:08:13
111,T01736607,A00005891,Credit,Credit in Cash,900.0,900.0,,,,2013,1,25,2013-01-25,2013-01-25,14:46:59,2013-01-25T14:46:59
112,T00142150,A00000477,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,25,2013-01-25,2013-01-25,10:52:42,2013-01-25T10:52:42
113,T00292053,A00001000,Credit,Credit in Cash,200.0,200.0,,,,2013,1,25,2013-01-25,2013-01-25,15:30:35,2013-01-25T15:30:35
114,T00695265,A00002378,Credit,Credit in Cash,21899.0,94059.0,,,,2013,1,26,2013-01-26,2013-01-26,09:50:04,2013-01-26T09:50:04
115,T00144551,A00000485,Credit,Credit in Cash,12336.0,25792.0,,,,2013,1,26,2013-01-26,2013-01-26,16:33:48,2013-01-26T16:33:48
116,T00511264,A00001750,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,26,2013-01-26,2013-01-26,08:37:27,2013-01-26T08:37:27
117,T00594014,A00002023,Credit,Credit in Cash,200.0,200.0,,,,2013,1,26,2013-01-26,2013-01-26,16:08:35,2013-01-26T16:08:35
118,T00484214,A00001649,Credit,Credit in Cash,700.0,700.0,,,,2013,1,26,2013-01-26,2013-01-26,09:24:38,2013-01-26T09:24:38
119,T01910780,A00006473,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,26,2013-01-26,2013-01-26,12:24:02,2013-01-26T12:24:02
120,T01910790,A00006473,Credit,Credit in Cash,19961.0,21061.0,,,,2013,1,26,2013-01-26,2013-01-26,16:47:38,2013-01-26T16:47:38
121,T00048640,A00000163,Credit,Credit in Cash,900.0,900.0,,,,2013,1,27,2013-01-27,2013-01-27,13:02:13,2013-01-27T13:02:13
122,T00783290,A00002670,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,27,2013-01-27,2013-01-27,10:46:47,2013-01-27T10:46:47
123,T00752010,A00002566,Credit,Credit in Cash,800.0,800.0,,,,2013,1,27,2013-01-27,2013-01-27,09:45:18,2013-01-27T09:45:18
124,T00330659,A00001127,Credit,Credit in Cash,600.0,600.0,,,,2013,1,27,2013-01-27,2013-01-27,13:50:39,2013-01-27T13:50:39
125,T00002176,A00000009,Credit,Credit in Cash,400.0,400.0,,,,2013,1,27,2013-01-27,2013-01-27,11:20:21,2013-01-27T11:20:21
126,T00336631,A00001144,Credit,Credit in Cash,200.0,200.0,,,,2013,1,28,2013-01-28,2013-01-28,12:37:48,2013-01-28T12:37:48
127,T00131922,A00000443,Credit,Credit in Cash,500.0,500.0,,,,2013,1,28,2013-01-28,2013-01-28,12:20:32,2013-01-28T12:20:32
32,T00480214,A00001637,Credit,Credit in Cash,500.0,500.0,,,,2013,1,8,2013-01-08,2013-01-08,14:01:07,2013-01-08T14:01:07
33,T00612392,A00002087,Credit,Credit in Cash,600.0,600.0,,,,2013,1,8,2013-01-08,2013-01-08,13:21:14,2013-01-08T13:21:14
34,T00224342,A00000764,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,8,2013-01-08,2013-01-08,10:25:46,2013-01-08T10:25:46
35,T01049881,A00003592,Credit,Credit in Cash,600.0,600.0,,,,2013,1,8,2013-01-08,2013-01-08,13:49:31,2013-01-08T13:49:31
36,T01132662,A00003871,Credit,Credit in Cash,300.0,300.0,,,,2013,1,8,2013-01-08,2013-01-08,14:07:56,2013-01-08T14:07:56
37,T01021120,A00003487,Credit,Credit in Cash,800.0,800.0,,,,2013,1,8,2013-01-08,2013-01-08,08:08:38,2013-01-08T08:08:38
38,T00439035,A00001493,Credit,Credit in Cash,200.0,200.0,,,,2013,1,9,2013-01-09,2013-01-09,09:39:13,2013-01-09T09:39:13
39,T00110534,A00000374,Credit,Credit in Cash,400.0,400.0,,,,2013,1,9,2013-01-09,2013-01-09,09:09:09,2013-01-09T09:09:09
40,T00771036,A00002632,Credit,Credit in Cash,14264.0,15364.0,,,,2013,1,9,2013-01-09,2013-01-09,09:27:45,2013-01-09T09:27:45
41,T00506450,A00001730,Credit,Credit in Cash,900.0,900.0,,,,2013,1,9,2013-01-09,2013-01-09,11:42:16,2013-01-09T11:42:16
42,T00192097,A00000652,Credit,Credit in Cash,13851.0,14551.0,,,,2013,1,9,2013-01-09,2013-01-09,16:46:01,2013-01-09T16:46:01
43,T01117248,A00003818,Credit,Credit in Cash,17366.0,17966.0,,,,2013,1,9,2013-01-09,2013-01-09,08:09:03,2013-01-09T08:09:03
44,T00695720,A00002379,Credit,Credit in Cash,800.0,800.0,,,,2013,1,10,2013-01-10,2013-01-10,15:55:39,2013-01-10T15:55:39
45,T00857973,A00002925,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,10,2013-01-10,2013-01-10,12:19:11,2013-01-10T12:19:11
46,T00477638,A00001628,Credit,Credit in Cash,700.0,700.0,,,,2013,1,10,2013-01-10,2013-01-10,08:10:26,2013-01-10T08:10:26
47,T01049882,A00003592,Credit,Collection from Another Bank,6007.0,6607.0,Old Age Pension,U.S. Bancorp,73166322,2013,1,10,2013-01-10,2013-01-10,09:02:13,2013-01-10T09:02:13
48,T00252644,A00000866,Credit,Credit in Cash,500.0,500.0,,,,2013,1,10,2013-01-10,2013-01-10,10:45:25,2013-01-10T10:45:25
49,T00393505,A00001338,Credit,Credit in Cash,400.0,400.0,,,,2013,1,11,2013-01-11,2013-01-11,08:34:56,2013-01-11T08:34:56
50,T00171813,A00000576,Credit,Collection from Another Bank,6207.0,7107.0,Old Age Pension,State Street Corp.,30300313,2013,1,11,2013-01-11,2013-01-11,16:36:38,2013-01-11T16:36:38
51,T00581699,A00001979,Credit,Credit in Cash,900.0,900.0,,,,2013,1,11,2013-01-11,2013-01-11,12:20:47,2013-01-11T12:20:47
52,T00252645,A00000866,Credit,Credit in Cash,12644.0,13144.0,,,,2013,1,11,2013-01-11,2013-01-11,15:04:16,2013-01-11T15:04:16
53,T00101386,A00000346,Credit,Credit in Cash,800.0,800.0,,,,2013,1,11,2013-01-11,2013-01-11,11:25:35,2013-01-11T11:25:35
54,T00689828,A00002357,Credit,Collection from Another Bank,6434.0,7234.0,Old Age Pension,PNC Financial Services,34144538,2013,1,12,2013-01-12,2013-01-12,10:30:16,2013-01-12T10:30:16
55,T00725752,A00002484,Credit,Credit in Cash,14779.0,15879.0,,,,2013,1,12,2013-01-12,2013-01-12,16:47:37,2013-01-12T16:47:37
56,T00565655,A00001926,Credit,Credit in Cash,4507.0,5207.0,,,,2013,1,12,2013-01-12,2013-01-12,13:52:16,2013-01-12T13:52:16
57,T00857974,A00002925,Credit,Credit in Cash,6446.0,7446.0,,,,2013,1,12,2013-01-12,2013-01-12,12:34:59,2013-01-12T12:34:59
58,T00560898,A00001909,Credit,Credit in Cash,800.0,800.0,,,,2013,1,12,2013-01-12,2013-01-12,14:13:45,2013-01-12T14:13:45
59,T00207265,A00000704,Credit,Credit in Cash,17477.0,18477.0,,,,2013,1,12,2013-01-12,2013-01-12,11:04:49,2013-01-12T11:04:49
60,T00477639,A00001628,Credit,Collection from Another Bank,4276.0,4976.0,Old Age Pension,Bank of New York Mellon Corp.,15916598,2013,1,12,2013-01-12,2013-01-12,11:14:10,2013-01-12T11:14:10
61,T00615542,A00002099,Credit,Credit in Cash,1100.0,1100.0,,,,2013,1,12,2013-01-12,2013-01-12,13:13:38,2013-01-12T13:13:38
62,T00439036,A00001493,Credit,Collection from Another Bank,5009.0,5209.0,Old Age Pension,JPMorgan Chase,54522466,2013,1,13,2013-01-13,2013-01-13,14:38:37,2013-01-13T14:38:37
63,T01100759,A00003760,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,13,2013-01-13,2013-01-13,15:18:01,2013-01-13T15:18:01
128,T01256504,A00004296,Credit,Credit in Cash,200.0,200.0,,,,2013,1,28,2013-01-28,2013-01-28,15:44:33,2013-01-28T15:44:33
129,T00851325,A00002902,Credit,Credit in Cash,200.0,200.0,,,,2013,1,28,2013-01-28,2013-01-28,14:23:21,2013-01-28T14:23:21
130,T00393512,A00001338,Credit,Credit in Cash,38000.0,38400.0,,,,2013,1,29,2013-01-29,2013-01-29,14:22:51,2013-01-29T14:22:51
131,T00612405,A00002087,Credit,Credit in Cash,16983.0,17583.0,,,,2013,1,29,2013-01-29,2013-01-29,10:49:51,2013-01-29T10:49:51
132,T01081327,A00003693,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,29,2013-01-29,2013-01-29,11:50:53,2013-01-29T11:50:53
133,T00608135,A00002070,Credit,Credit in Cash,300.0,300.0,,,,2013,1,29,2013-01-29,2013-01-29,08:50:19,2013-01-29T08:50:19
134,T01190752,A00004078,Credit,Credit in Cash,300.0,300.0,,,,2013,1,30,2013-01-30,2013-01-30,13:21:36,2013-01-30T13:21:36
135,T00541681,A00001843,Credit,Credit in Cash,1000.0,1000.0,,,,2013,1,30,2013-01-30,2013-01-30,10:33:19,2013-01-30T10:33:19
136,T00796773,A00002714,Credit,Credit in Cash,800.0,800.0,,,,2013,1,30,2013-01-30,2013-01-30,08:03:28,2013-01-30T08:03:28
137,T00695560,A00002378,Debit,Cash Withdrawal,34700.0,59453.7,,,,2013,1,31,2013-01-31,2013-01-31,10:26:13,2013-01-31T10:26:13
138,T03591421,A00001844,Credit,,12.6,3754.6,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,10:00:55,2013-01-31T10:00:55
139,T03617490,A00002632,Credit,,47.5,15411.5,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,11:21:06,2013-01-31T11:21:06
140,T03579543,A00001493,Credit,,13.3,5222.3,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,08:43:41,2013-01-31T08:43:41
141,T03558798,A00000866,Credit,,37.1,13181.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,09:37:14,2013-01-31T09:37:14
142,T03453599,A00006473,Credit,,17.0,21078.0,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,15:36:15,2013-01-31T15:36:15
143,T03513134,A00009635,Credit,,11.1,4892.9,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,14:03:25,2013-01-31T14:03:25
144,T03574567,A00001338,Credit,,15.5,38415.5,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,16:32:01,2013-01-31T16:32:01
145,T03654666,A00003760,Credit,,22.2,11814.2,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,13:35:59,2013-01-31T13:35:59
146,T03656579,A00003818,Credit,,55.8,18021.8,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,08:42:48,2013-01-31T08:42:48
147,T03456844,A00009635,Credit,,11.8,4881.8,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,14:04:15,2013-01-31T14:04:15
148,T03553661,A00000704,Credit,,50.1,18527.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,13:41:56,2013-01-31T13:41:56
149,T03552056,A00000652,Credit,,45.0,14596.0,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,12:09:11,2013-01-31T12:09:11
150,T03583848,A00001628,Credit,,13.4,4989.4,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,11:25:03,2013-01-31T11:25:03
151,T03584201,A00001637,Credit,,15.9,6233.9,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,12:03:10,2013-01-31T12:03:10
152,T03586191,A00001695,Credit,,38.8,12070.8,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,16:27:47,2013-01-31T16:27:47
153,T03587145,A00001726,Credit,,38.2,15005.2,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,16:15:34,2013-01-31T16:15:34
154,T03549613,A00000576,Credit,,20.1,7127.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,14:09:30,2013-01-31T14:09:30
155,T03546683,A00000485,Credit,,38.9,25830.9,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,08:00:18,2013-01-31T08:00:18
156,T03599467,A00002087,Credit,,7.1,17590.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,10:29:50,2013-01-31T10:29:50
157,T03600403,A00002122,Credit,,107.1,46959.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,15:53:05,2013-01-31T15:53:05
158,T03466049,A00003510,Credit,,48.0,23871.0,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,16:06:06,2013-01-31T16:06:06
159,T03444292,A00002099,Credit,,62.4,53805.4,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,11:50:04,2013-01-31T11:50:04
160,T00207642,A00000704,Credit,Credit in Cash,2900.0,21427.1,,,,2013,1,31,2013-01-31,2013-01-31,13:00:11,2013-01-31T13:00:11
161,T03602138,A00002177,Credit,,21.5,5944.5,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,14:21:32,2013-01-31T14:21:32
162,T03595783,A00001972,Credit,,19.1,5717.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,15:34:56,2013-01-31T15:34:56
163,T03594124,A00001926,Credit,,14.0,5221.0,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,13:15:20,2013-01-31T13:15:20
164,T03648651,A00003592,Credit,,19.5,6626.5,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,11:11:38,2013-01-31T11:11:38
165,T03645341,A00003487,Credit,,42.7,16756.7,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,09:30:58,2013-01-31T09:30:58
166,T03556397,A00000793,Credit,,15.2,4216.2,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,09:01:07,2013-01-31T09:01:07
167,T02809959,A00009307,Credit,Credit in Cash,5282.0,6182.0,,,,2013,1,31,2013-01-31,2013-01-31,15:60:01,2013-01-31T15:60:01
168,T03608592,A00002378,Credit,,94.7,94153.7,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,09:23:30,2013-01-31T09:23:30
169,T03607855,A00002357,Credit,,19.4,7253.4,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,09:42:56,2013-01-31T09:42:56
170,T03609127,A00002393,Credit,,28.2,11665.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,16:50:08,2013-01-31T16:50:08
171,T03612139,A00002484,Credit,,42.7,15921.7,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,09:45:48,2013-01-31T09:45:48
172,T03669814,A00005270,Credit,,110.2,45659.2,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,10:46:09,2013-01-31T10:46:09
173,T03479816,A00009307,Credit,,0.8,6182.8,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,10:33:13,2013-01-31T10:33:13
174,T03572388,A00001276,Credit,,23.1,7197.1,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,15:00:47,2013-01-31T15:00:47
175,T03627125,A00002925,Credit,,20.0,7466.0,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,08:57:05,2013-01-31T08:57:05
176,T03625747,A00002881,Credit,,19.6,7678.6,Interest Credited,,,2013,1,31,2013-01-31,2013-01-31,14:26:37,2013-01-31T14:26:37
177,T01117691,A00003818,Credit,Credit in Cash,2000.0,20021.8,,,,2013,1,31,2013-01-31,2013-01-31,14:39:50,2013-01-31T14:39:50
178,T00771484,A00002632,Credit,Credit in Cash,5100.0,20511.5,,,,2013,2,1,2013-02-01,2013-02-01,15:30:50,2013-02-01T15:30:50
179,T00490777,A00001675,Credit,Credit in Cash,1100.0,1100.0,,,,2013,2,1,2013-02-01,2013-02-01,12:44:46,2013-02-01T12:44:46
180,T01730428,A00005868,Credit,Credit in Cash,200.0,200.0,,,,2013,2,2,2013-02-02,2013-02-02,08:25:07,2013-02-02T08:25:07
